epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.655,2.11546,1.34847,1.21398,0.42302,0.32308,0.30806,0.11718,2.52067,1.70594,1.62336,0.0702986,0.00274496,0.00274496
2,939.357,2.00249,1.11852,1.19332,0.42092,0.36156,0.34776,0.12825,2.5101,1.60131,1.59939,0.0405554,0.00548791,0.00548791
3,1372.09,1.90858,1.03336,1.15364,0.53455,0.37787,0.38758,0.14981,2.42302,1.50634,1.54639,0.0107908,0.00820939,0.00820939
4,1803.39,1.8372,0.96582,1.14085,0.53213,0.45669,0.43534,0.17179,2.34244,1.27534,1.54229,0.00838571,0.00838571,0.00838571
5,2233.21,1.82151,0.93268,1.11534,0.42871,0.31416,0.32427,0.12805,2.39698,1.60725,1.55961,0.00832823,0.00832823,0.00832823
6,2663.62,1.78687,0.91219,1.09776,0.58877,0.49394,0.50635,0.19706,2.25098,1.22,1.48308,0.00825472,0.00825472,0.00825472
7,3096.26,1.7459,0.88362,1.09884,0.53752,0.4347,0.44392,0.17926,2.32691,1.46111,1.49144,0.00816546,0.00816546,0.00816546
8,3544.12,1.70199,0.84759,1.06695,0.62601,0.43082,0.45563,0.18597,2.23136,1.37209,1.48601,0.00806082,0.00806082,0.00806082
9,3978.22,1.71512,0.86152,1.08308,0.63552,0.46032,0.48467,0.19045,2.22947,1.26581,1.46608,0.00794119,0.00794119,0.00794119
10,4408.64,1.68726,0.84968,1.06473,0.5366,0.46606,0.4706,0.18904,2.21445,1.30492,1.47333,0.00780706,0.00780706,0.00780706
11,4837.67,1.68536,0.8414,1.07284,0.63695,0.46171,0.49107,0.19339,2.26726,1.31107,1.49044,0.00765896,0.00765896,0.00765896
12,5266.97,1.67467,0.81227,1.04938,0.67321,0.45079,0.49599,0.19448,2.25117,1.30976,1.47855,0.00749746,0.00749746,0.00749746
13,5697.45,1.65214,0.81021,1.04114,0.64955,0.45039,0.4715,0.18294,2.27846,1.25546,1.49582,0.00732321,0.00732321,0.00732321
14,6125.87,1.62112,0.79784,1.026,0.65242,0.4252,0.46679,0.19191,2.28214,1.45347,1.49381,0.0071369,0.0071369,0.0071369
15,6556.66,1.62431,0.79245,1.04559,0.68011,0.45486,0.47215,0.18871,2.26354,1.25772,1.49389,0.00693925,0.00693925,0.00693925
16,6986.79,1.59318,0.76657,1.01873,0.64751,0.46028,0.48007,0.19857,2.2144,1.30535,1.4747,0.00673105,0.00673105,0.00673105
17,7424.35,1.54473,0.7589,1.01354,0.64185,0.50055,0.53063,0.22477,2.19686,1.17755,1.47411,0.00651312,0.00651312,0.00651312
18,7861.51,1.53821,0.7434,1.02077,0.684,0.44813,0.50331,0.21193,2.2181,1.33127,1.46638,0.00628632,0.00628632,0.00628632
19,8298.68,1.55634,0.7629,1.01341,0.63545,0.4795,0.5104,0.21044,2.22445,1.28424,1.48355,0.00605155,0.00605155,0.00605155
20,8725.91,1.53111,0.73021,1.0093,0.68082,0.50184,0.53864,0.22265,2.19616,1.1521,1.47483,0.00580973,0.00580973,0.00580973
21,9155.11,1.48775,0.70605,0.99816,0.66249,0.52356,0.5545,0.23039,2.18665,1.17197,1.47883,0.00556181,0.00556181,0.00556181
22,9584.33,1.47281,0.71143,0.98709,0.6561,0.5175,0.54257,0.22085,2.18326,1.17843,1.46439,0.00530878,0.00530878,0.00530878
23,10014.7,1.44778,0.69374,0.97462,0.66473,0.50277,0.53677,0.22514,2.20265,1.23938,1.49499,0.00505163,0.00505163,0.00505163
